,element,tag,text,href,class,target,rel,role,aria-current,data-ga-action,data-ga-name,data-ga-uri,title,tabindex,aria-haspopup,aria-label,id,style,data-redirect-after,data-skip-link,data-appsantag
54,Ubezpieczenia,a,Ubezpieczenia,/klient-indywidualny/ubezpieczenia,,,,,,,,,Ubezpieczenia,,,,,,,,
55,Życie i zdrowie,a,Życie i zdrowie,/klient-indywidualny/ubezpieczenia/zycie-i-zdrowie,['acn-ga-link'],,,menuitem,,Życie i zdrowie,Menu,\/klient-indywidualny,Życie i zdrowie,,,,,,,,
56,Ubezpieczenie OC/AC,a,Ubezpieczenie OC/AC,/klient-indywidualny/ubezpieczenia/ubezpieczenie-oc-ac,['acn-ga-link'],,,menuitem,,Ubezpieczenie OC/AC,Menu,\/klient-indywidualny,Ubezpieczenie OC/AC,,,,,,,,
57,Locum Comfort,a,Locum Comfort,/klient-indywidualny/ubezpieczenia/locum-comfort,['acn-ga-link'],,,menuitem,,Locum Comfort,Menu,\/klient-indywidualny,Locum Comfort,,,,,,,,
58,Na podróż,a,Na podróż,/klient-indywidualny/ubezpieczenia/na-podroz,['acn-ga-link'],,,menuitem,,Na podróż,Menu,\/klient-indywidualny,Na podróż,,,,,,,,
59,Spokojny kredyt,a,Spokojny kredyt,/klient-indywidualny/ubezpieczenia/spokojny-kredyt,['acn-ga-link'],,,menuitem,,Spokojny kredyt,Menu,\/klient-indywidualny,Spokojny kredyt,,,,,,,,
60,Zobacz wszystkie,a,Zobacz wszystkie,/klient-indywidualny/ubezpieczenia,['acn-ga-link'],,,menuitem,,Zobacz wszystkie,Menu,\/klient-indywidualny,Zobacz wszystkie,,,,,,,,
61,Zobacz wszystkie,a,Zobacz wszystkie,/klient-indywidualny/ubezpieczenia,['acn-ga-link'],,,menuitem,,Zobacz wszystkie,Menu,\/klient-indywidualny,Zobacz wszystkie,,,,,,,,
62,Bankowość internetowa,a,Bankowość internetowa,/klient-indywidualny/bankowosc-internetowa,,,,,,,,,Bankowość internetowa,,,,,,,,
63,Santander internet,a,Santander internet,/klient-indywidualny/bankowosc-internetowa/santander-internet,['acn-ga-link'],,,menuitem,,Santander internet,Menu,\/klient-indywidualny,Santander internet,,,,,,,,
64,Santander mobile,a,Santander mobile,/klient-indywidualny/bankowosc-internetowa/santander-mobile,['acn-ga-link'],,,menuitem,,Santander mobile,Menu,\/klient-indywidualny,Santander mobile,,,,,,,,
65,Santander open,a,Santander open,/klient-indywidualny/bankowosc-internetowa/santander-open,['acn-ga-link'],,,menuitem,,Santander open,Menu,\/klient-indywidualny,Santander open,,,,,,,,
66,Zobacz wszystkie,a,Zobacz wszystkie,/klient-indywidualny/bankowosc-internetowa,['acn-ga-link'],,,menuitem,,Zobacz wszystkie,Menu,\/klient-indywidualny,Zobacz wszystkie,,,,,,,,
67,Zobacz wszystkie,a,Zobacz wszystkie,/klient-indywidualny/bankowosc-internetowa,['acn-ga-link'],,,menuitem,,Zobacz wszystkie,Menu,\/klient-indywidualny,Zobacz wszystkie,,,,,,,,
68,Sprawdź,a,Sprawdź,https://www.santander.pl/ws-konto-osobiste-kjc-strona-2021/?santag-camp=oferta,"['button', 'small', 'primary', 'header__infographics-button', 'santag-menu-oferta_portal']",,,,,,,,,,,,,,,,
69,Promocje,a,Promocje,/klient-indywidualny/promocje,['acn-ga-link'],,,menuitem,,Promocje,Menu,\/klient-indywidualny,Promocje,,,,,,,,
70,Pomoc i kontakt,a,Pomoc i kontakt,/klient-indywidualny/kontakt,['acn-ga-link'],,,menuitem,,Pomoc i kontakt,Menu,\/klient-indywidualny,Pomoc i kontakt,,,,,,,,
71,Zamknij,a,Zamknij,#,"['button', 'header__search-close']",,,,,,,,,,,,,,,,
72,Sprawdzam,a,Sprawdzam,https://www.santander.pl/klient-indywidualny/kredyty/kredyt-gotowkowy-online?santag-camp=perso_kgdefault_KGpromo0422v2#majowka,"['button', 'primary', 'santag-slider_portal']",,,,,,,,Sprawdzam,,,,,,,,
73,Wyjeżdżasz?,a,Wyjeżdżasz?,https://www.santander.pl/klient-indywidualny/karty-platnosci-i-kantor/kantor-santander?santag-camp=portal_5,,,,,,,,,,,,,,,,,
74,Więcej,a,Więcej,https://www.santander.pl/klient-indywidualny/karty-platnosci-i-kantor/kantor-santander?santag-camp=portal_5,['button'],,,,,,,,,,,,,,,,
75,Kredyt na konsolidację,a,Kredyt na konsolidację,https://www.santander.pl/klient-indywidualny/kredyty/kredyt-konsolidacyjny?santag-camp=Kkons0222,,,,,,,,,,,,,,,,,
76,Więcej,a,Więcej,https://www.santander.pl/klient-indywidualny/kredyty/kredyt-konsolidacyjny?santag-camp=Kkons0222,['button'],,,,,,,,,,,,,,,,
77,Moc rosnących oszczędności,a,Moc rosnących oszczędności,https://www.santander.pl/select/pomnazanie-kapitalu/konto-oszczednosciowe-select?santag-camp=portal,,,,,,,,,,,,,,,,,
78,Więcej,a,Więcej,https://www.santander.pl/select/pomnazanie-kapitalu/konto-oszczednosciowe-select?santag-camp=portal,['button'],,,,,,,,,,,,,,,,
79,Wyjeżdżasz?,a,Wyjeżdżasz?,https://www.santander.pl/klient-indywidualny/karty-platnosci-i-kantor/kantor-santander?santag-camp=portal_5,,,,,,,,,,,,,,,,,
80,Więcej,a,Więcej,https://www.santander.pl/klient-indywidualny/karty-platnosci-i-kantor/kantor-santander?santag-camp=portal_5,['button'],,,,,,,,,,,,,,,,
81,Kredyt na konsolidację,a,Kredyt na konsolidację,https://www.santander.pl/klient-indywidualny/kredyty/kredyt-konsolidacyjny?santag-camp=Kkons0222,,,,,,,,,,,,,,,,,
82,Więcej,a,Więcej,https://www.santander.pl/klient-indywidualny/kredyty/kredyt-konsolidacyjny?santag-camp=Kkons0222,['button'],,,,,,,,,,,,,,,,
83,Moc rosnących oszczędności,a,Moc rosnących oszczędności,https://www.santander.pl/select/pomnazanie-kapitalu/konto-oszczednosciowe-select?santag-camp=portal,,,,,,,,,,,,,,,,,
84,Więcej,a,Więcej,https://www.santander.pl/select/pomnazanie-kapitalu/konto-oszczednosciowe-select?santag-camp=portal,['button'],,,,,,,,,,,,,,,,
85,Wyjeżdżasz?,a,Wyjeżdżasz?,https://www.santander.pl/klient-indywidualny/karty-platnosci-i-kantor/kantor-santander?santag-camp=portal_5,,,,,,,,,,,,,,,,,
86,Więcej,a,Więcej,https://www.santander.pl/klient-indywidualny/karty-platnosci-i-kantor/kantor-santander?santag-camp=portal_5,['button'],,,,,,,,,,,,,,,,
87,Sprawdzam,a,Sprawdzam,https://www.santander.pl/klient-indywidualny/kredyty/kredyt-gotowkowy-online#kalkulator,"['button', 'primary']",,,,,,,,,,,,,,,,
88,Pахунок з карткою,a,Pахунок з карткою,/uk/ukraina-oferta,,,,,,,,,,,,,,,,,
89,Рахунок «Для біженців»,a,Рахунок «Для біженців»,/uk/ukraina-oferta/konto-dla-uchodzcow,['link-arrow'],,,,,,,,,,,,,,,,
90,Рахунок «Який хочу» промо-акція,a,Рахунок «Який хочу» промо-акція,/uk/ukraina-oferta/konto-zlotowkowe#promocja,['link-arrow'],,,,,,,,,,,,,,,,
91,Більше інформації,a,Більше інформації,/uk/ukraina-oferta,['button'],,,,,,,,,,,,,,,,
92,Sytuacja w Ukrainie,a,Sytuacja w Ukrainie,/wydarzenia-w-ukrainie-informacje-dla-klientow,,,,,,,,,,,,,,,,,
93,Більше інформації,a,Більше інформації,/uk/wydarzenia-w-ukrainie-informacje-dla-klientow,['link-arrow'],,,,,,,,,,,,,,,,
94,Sprawdzam,a,Sprawdzam,/wydarzenia-w-ukrainie-informacje-dla-klientow,['button'],,,,,,,,,,,,,,,,
95,Więcej,a,Więcej,https://www.santander.pl/klient-indywidualny/bankowosc-internetowa/bezpieczne-bankowanie,['button'],,,,,,,,,,,,,,,,
96,Więcej,a,Więcej,https://www.santander.pl/klient-indywidualny/bankowosc-internetowa/santander-mobile,['button'],,,,,,,,,,,,,,,,
97,Zmieniamy stronę wylogowania z Santander internet,a,Zmieniamy stronę wylogowania z Santander internet,/aktualnosci/aktualnosci-lista/zmieniamy-strone-wylogowania-z-santander-internet,,,,,,,,,Zmieniamy stronę wylogowania z Santander internet,,,,,,,,
98,"Już wkrótce zobaczysz nową stronę wylogowania z Santander internet. Nie martw się, to my. Jest bezpiecznie. Dodatkowo będzie wygodnie, intuicyjnie i szybko. Sprawdź, co się zmieniło.",a,"Już wkrótce zobaczysz nową stronę wylogowania z Santander internet. Nie martw się, to my. Jest bezpiecznie. Dodatkowo będzie wygodnie, intuicyjnie i szybko. Sprawdź, co się zmieniło.",/aktualnosci/aktualnosci-lista/zmieniamy-strone-wylogowania-z-santander-internet,,,,,,,,,,,,,,,,,
99,Nowa oferta kont dla Uchodźców | Нова пропозиція рахунків для біженців,a,Nowa oferta kont dla Uchodźców | Нова пропозиція рахунків для біженців,/aktualnosci/aktualnosci-lista/nowa-oferta-kont-dla-uchodzcow,,,,,,,,,Nowa oferta kont dla Uchodźców | Нова пропозиція рахунків для біженців,,,,,,,,
100,"Wprowadzamy zmiany w ofercie dla osób, które przybyły do Polski w związku z działaniami wojennymi w Ukrainie. Ми вводимо зміну в пропозицію для осіб, які прибули в Польщу у зв’язку з воєнними діями в Україні. ",a,"Wprowadzamy zmiany w ofercie dla osób, które przybyły do Polski w związku z działaniami wojennymi w Ukrainie. Ми вводимо зміну в пропозицію для осіб, які прибули в Польщу у зв’язку з воєнними діями в Україні. ",/aktualnosci/aktualnosci-lista/nowa-oferta-kont-dla-uchodzcow,,,,,,,,,,,,,,,,,
101,Chcesz podszkolić swój angielski i zdać egzamin IELTS? | British Council,a,Chcesz podszkolić swój angielski i zdać egzamin IELTS? | British Council,/aktualnosci/aktualnosci-lista/chcesz-podszkolic-swoj-angielski-i-zdac-egzamin-ielts-british-council,,,,,,,,,Chcesz podszkolić swój angielski i zdać egzamin IELTS? | British Council,,,,,,,,
102,"Trwa nabór na Stypendium Językowe Santander | Angielski i IELTS z British Council 2022. Jest to program, dzięki któremu możesz rozwinąć swoje kompetencje językowe i zdobyć certyfikat IELTS.",a,"Trwa nabór na Stypendium Językowe Santander | Angielski i IELTS z British Council 2022. Jest to program, dzięki któremu możesz rozwinąć swoje kompetencje językowe i zdobyć certyfikat IELTS.",/aktualnosci/aktualnosci-lista/chcesz-podszkolic-swoj-angielski-i-zdac-egzamin-ielts-british-council,,,,,,,,,,,,,,,,,
103,Nie klikaj w linki w SMS-ach,a,Nie klikaj w linki w SMS-ach,/aktualnosci/aktualnosci-lista/phishing_doplata,,,,,,,,,Nie klikaj w linki w SMS-ach,,,,,,,,
104,"Oszuści rozsyłają fałszywe wiadomości, w których podszywają się pod znane firmy. Piszą np. o rzekomym odłączeniu energii elektrycznej lub dopłacie do przesyłki. ",a,"Oszuści rozsyłają fałszywe wiadomości, w których podszywają się pod znane firmy. Piszą np. o rzekomym odłączeniu energii elektrycznej lub dopłacie do przesyłki. ",/aktualnosci/aktualnosci-lista/phishing_doplata,,,,,,,,,,,,,,,,,
105,Zmieniamy oprocentowanie depozytów i kont oszczędnościowych,a,Zmieniamy oprocentowanie depozytów i kont oszczędnościowych,/aktualnosci/aktualnosci-lista/zmieniamy-oprocentowanie-depozytow-i-kont-oszczednosciowych,,,,,,,,,Zmieniamy oprocentowanie depozytów i kont oszczędnościowych,,,,,,,,
106,Od 28 kwietnia zmieniamy oprocentowanie depozytów i kont oszczędnościowych. Pieniądze na Lokacie mobilnej do 20 tys. zł oprocentowane będą na 3% w skali roku przez 4 miesiące. Na kontach oszczędnościowych można oszczędzać 2% w skali roku do 100 tys. zł. ,a,Od 28 kwietnia zmieniamy oprocentowanie depozytów i kont oszczędnościowych. Pieniądze na Lokacie mobilnej do 20 tys. zł oprocentowane będą na 3% w skali roku przez 4 miesiące. Na kontach oszczędnościowych można oszczędzać 2% w skali roku do 100 tys. zł. ,/aktualnosci/aktualnosci-lista/zmieniamy-oprocentowanie-depozytow-i-kont-oszczednosciowych,,,,,,,,,,,,,,,,,
107,Majówka 2022 - jak działamy,a,Majówka 2022 - jak działamy,/aktualnosci/aktualnosci-lista/majowka-2022-jak-dzialamy,,,,,,,,,Majówka 2022 - jak działamy,,,,,,,,
108,"2 maja w poniedziałek nasze oddziały, placówki partnerskie, Centra Bankowości Biznesowej i Korporacyjnej oraz Biura Private Banking będą nieczynne.",a,"2 maja w poniedziałek nasze oddziały, placówki partnerskie, Centra Bankowości Biznesowej i Korporacyjnej oraz Biura Private Banking będą nieczynne.",/aktualnosci/aktualnosci-lista/majowka-2022-jak-dzialamy,,,,,,,,,,,,,,,,,
109,Zmieniamy stronę wylogowania z Santander internet,a,Zmieniamy stronę wylogowania z Santander internet,/aktualnosci/aktualnosci-lista/zmieniamy-strone-wylogowania-z-santander-internet,,,,,,,,,Zmieniamy stronę wylogowania z Santander internet,,,,,,,,
110,"Już wkrótce zobaczysz nową stronę wylogowania z Santander internet. Nie martw się, to my. Jest bezpiecznie. Dodatkowo będzie wygodnie, intuicyjnie i szybko. Sprawdź, co się zmieniło.",a,"Już wkrótce zobaczysz nową stronę wylogowania z Santander internet. Nie martw się, to my. Jest bezpiecznie. Dodatkowo będzie wygodnie, intuicyjnie i szybko. Sprawdź, co się zmieniło.",/aktualnosci/aktualnosci-lista/zmieniamy-strone-wylogowania-z-santander-internet,,,,,,,,,,,,,,,,,
111,Nowa oferta kont dla Uchodźców | Нова пропозиція рахунків для біженців,a,Nowa oferta kont dla Uchodźców | Нова пропозиція рахунків для біженців,/aktualnosci/aktualnosci-lista/nowa-oferta-kont-dla-uchodzcow,,,,,,,,,Nowa oferta kont dla Uchodźców | Нова пропозиція рахунків для біженців,,,,,,,,
112,"Wprowadzamy zmiany w ofercie dla osób, które przybyły do Polski w związku z działaniami wojennymi w Ukrainie. Ми вводимо зміну в пропозицію для осіб, які прибули в Польщу у зв’язку з воєнними діями в Україні. ",a,"Wprowadzamy zmiany w ofercie dla osób, które przybyły do Polski w związku z działaniami wojennymi w Ukrainie. Ми вводимо зміну в пропозицію для осіб, які прибули в Польщу у зв’язку з воєнними діями в Україні. ",/aktualnosci/aktualnosci-lista/nowa-oferta-kont-dla-uchodzcow,,,,,,,,,,,,,,,,,
113,Chcesz podszkolić swój angielski i zdać egzamin IELTS? | British Council,a,Chcesz podszkolić swój angielski i zdać egzamin IELTS? | British Council,/aktualnosci/aktualnosci-lista/chcesz-podszkolic-swoj-angielski-i-zdac-egzamin-ielts-british-council,,,,,,,,,Chcesz podszkolić swój angielski i zdać egzamin IELTS? | British Council,,,,,,,,
114,"Trwa nabór na Stypendium Językowe Santander | Angielski i IELTS z British Council 2022. Jest to program, dzięki któremu możesz rozwinąć swoje kompetencje językowe i zdobyć certyfikat IELTS.",a,"Trwa nabór na Stypendium Językowe Santander | Angielski i IELTS z British Council 2022. Jest to program, dzięki któremu możesz rozwinąć swoje kompetencje językowe i zdobyć certyfikat IELTS.",/aktualnosci/aktualnosci-lista/chcesz-podszkolic-swoj-angielski-i-zdac-egzamin-ielts-british-council,,,,,,,,,,,,,,,,,
115,Nie klikaj w linki w SMS-ach,a,Nie klikaj w linki w SMS-ach,/aktualnosci/aktualnosci-lista/phishing_doplata,,,,,,,,,Nie klikaj w linki w SMS-ach,,,,,,,,
116,"Oszuści rozsyłają fałszywe wiadomości, w których podszywają się pod znane firmy. Piszą np. o rzekomym odłączeniu energii elektrycznej lub dopłacie do przesyłki. ",a,"Oszuści rozsyłają fałszywe wiadomości, w których podszywają się pod znane firmy. Piszą np. o rzekomym odłączeniu energii elektrycznej lub dopłacie do przesyłki. ",/aktualnosci/aktualnosci-lista/phishing_doplata,,,,,,,,,,,,,,,,,
117,Zmieniamy oprocentowanie depozytów i kont oszczędnościowych,a,Zmieniamy oprocentowanie depozytów i kont oszczędnościowych,/aktualnosci/aktualnosci-lista/zmieniamy-oprocentowanie-depozytow-i-kont-oszczednosciowych,,,,,,,,,Zmieniamy oprocentowanie depozytów i kont oszczędnościowych,,,,,,,,
